timestamp,exchange,symbol,mark_price,funding_rate
2026-07-02 22:23:13,Pi42,BTCINR,5873498.0,5.3625e-05
2026-07-02 22:23:18,Delta,BTCUSD,61688.12032085,0.010000000000000002
2026-07-02 22:23:18,Pi42,BTCINR,5872860.0,5.3625e-05
2026-07-02 22:23:23,Delta,BTCUSD,61670.61102738,0.010000000000000002
2026-07-02 22:23:23,Pi42,BTCINR,5872039.0,5.3625e-05
2026-07-02 22:23:28,Delta,BTCUSD,61668.11208857,0.010000000000000002
2026-07-02 22:23:28,Pi42,BTCINR,5870925.0,5.3625e-05
2026-07-02 22:23:33,Delta,BTCUSD,61643.66318498,0.010000000000000002
2026-07-02 22:23:33,Pi42,BTCINR,5869004.0,5.3625e-05
2026-07-02 22:23:38,Delta,BTCUSD,61657.15748531,0.010000000000000002
2026-07-02 22:23:38,Pi42,BTCINR,5869019.0,5.3625e-05
2026-07-02 22:23:43,Delta,BTCUSD,61665.19461388,0.010000000000000002
2026-07-02 22:23:43,Pi42,BTCINR,5869071.0,5.3625e-05
2026-07-02 22:23:48,Delta,BTCUSD,61653.29974591,0.010000000000000002
2026-07-02 22:23:48,Pi42,BTCINR,5869176.0,5.3625e-05
2026-07-02 22:23:53,Delta,BTCUSD,61654.33196073,0.010000000000000002
2026-07-02 22:23:53,Pi42,BTCINR,5868928.0,5.3625e-05
2026-07-02 22:23:58,Delta,BTCUSD,61643.23663394,0.010000000000000002
2026-07-02 22:23:58,Pi42,BTCINR,5868638.0,5.3625e-05
2026-07-02 22:24:03,Delta,BTCUSD,61653.41282874,0.010000000000000002
2026-07-02 22:24:03,Pi42,BTCINR,5868814.0,5.3625e-05
2026-07-02 22:24:08,Delta,BTCUSD,61657.31117925,0.010000000000000002
2026-07-02 22:24:08,Pi42,BTCINR,5869937.0,5.3625e-05
2026-07-02 22:24:13,Delta,BTCUSD,61659.31154659,0.010000000000000002
2026-07-02 22:24:13,Pi42,BTCINR,5869452.0,5.3625e-05
2026-07-02 22:24:18,Delta,BTCUSD,61656.91256939,0.010000000000000002
2026-07-02 22:24:18,Pi42,BTCINR,5869465.0,5.3625e-05
2026-07-02 22:24:23,Delta,BTCUSD,61664.28762092,0.010000000000000002
2026-07-02 22:24:23,Pi42,BTCINR,5869909.0,5.3625e-05
2026-07-02 22:24:28,Delta,BTCUSD,61665.78697871,0.010000000000000002
2026-07-02 22:24:29,Pi42,BTCINR,5869918.0,5.3625e-05
2026-07-02 22:24:34,Delta,BTCUSD,61668.75767072,0.010000000000000002
2026-07-02 22:24:34,Pi42,BTCINR,5870347.0,5.3625e-05
2026-07-02 22:24:39,Delta,BTCUSD,61668.35784086,0.010000000000000002
2026-07-02 22:24:39,Pi42,BTCINR,5870356.0,5.3625e-05
2026-07-02 22:24:44,Delta,BTCUSD,61664.2686672,0.010000000000000002
2026-07-02 22:24:44,Pi42,BTCINR,5870004.0,5.3625e-05
2026-07-02 22:24:49,Delta,BTCUSD,61660.87007985,0.010000000000000002
2026-07-02 22:24:49,Pi42,BTCINR,5869644.0,5.3625e-05
2026-07-02 22:24:54,Delta,BTCUSD,61662.55536322,0.010000000000000002
2026-07-02 22:24:54,Pi42,BTCINR,5869690.0,5.3625e-05
2026-07-02 22:24:59,Delta,BTCUSD,61663.85481647,0.010000000000000002
2026-07-02 22:24:59,Pi42,BTCINR,5869708.0,5.3625e-05
2026-07-02 22:25:04,Delta,BTCUSD,61653.44826248,0.010000000000000002
2026-07-02 22:25:04,Pi42,BTCINR,5869677.0,5.3493e-05
2026-07-02 22:25:09,Delta,BTCUSD,61658.64605772,0.010000000000000002
2026-07-02 22:25:09,Pi42,BTCINR,5869576.0,5.3493e-05
2026-07-02 22:25:14,Delta,BTCUSD,61660.69279449,0.010000000000000002
2026-07-02 22:25:14,Pi42,BTCINR,5869514.0,5.3493e-05
2026-07-02 22:25:19,Delta,BTCUSD,61653.89568342,0.010000000000000002
2026-07-02 22:25:19,Pi42,BTCINR,5869377.0,5.3493e-05
2026-07-02 22:25:24,Delta,BTCUSD,61641.02383375,0.010000000000000002
2026-07-02 22:25:24,Pi42,BTCINR,5868749.0,5.3493e-05
2026-07-02 22:25:29,Delta,BTCUSD,61643.12293895,0.010000000000000002
2026-07-02 22:25:29,Pi42,BTCINR,5868299.0,5.3493e-05
2026-07-02 22:25:34,Delta,BTCUSD,61654.00842043,0.010000000000000002
2026-07-02 22:25:34,Pi42,BTCINR,5868738.0,5.3493e-05
2026-07-02 22:25:39,Delta,BTCUSD,61658.20662335,0.010000000000000002
2026-07-02 22:25:39,Pi42,BTCINR,5868789.0,5.3493e-05
2026-07-02 22:25:44,Delta,BTCUSD,61641.23526243,0.010000000000000002
2026-07-02 22:25:44,Pi42,BTCINR,5868338.0,5.3493e-05
2026-07-02 22:25:49,Delta,BTCUSD,61645.63334564,0.010000000000000002
2026-07-02 22:25:49,Pi42,BTCINR,5868205.0,5.3493e-05
2026-07-02 22:25:54,Delta,BTCUSD,61648.60479381,0.010000000000000002
2026-07-02 22:25:54,Pi42,BTCINR,5868747.0,5.3493e-05
2026-07-02 22:25:59,Delta,BTCUSD,61643.60695798,0.010000000000000002
2026-07-02 22:25:59,Pi42,BTCINR,5868233.0,5.3493e-05
2026-07-02 22:26:04,Delta,BTCUSD,61623.60900482,0.010000000000000002
2026-07-02 22:26:04,Pi42,BTCINR,5867598.0,5.3493e-05
2026-07-02 22:26:09,Delta,BTCUSD,61619.31085253,0.010000000000000002
2026-07-02 22:26:09,Pi42,BTCINR,5865996.0,5.3493e-05
2026-07-02 22:26:14,Delta,BTCUSD,61624.3432562,0.010000000000000002
2026-07-02 22:26:14,Pi42,BTCINR,5866044.0,5.3493e-05
2026-07-02 22:26:19,Delta,BTCUSD,61624.44321361,0.010000000000000002
2026-07-02 22:26:19,Pi42,BTCINR,5866044.0,5.3493e-05
2026-07-02 22:26:24,Delta,BTCUSD,61628.63539226,0.010000000000000002
2026-07-02 22:26:24,Pi42,BTCINR,5866453.0,5.3493e-05
2026-07-02 22:26:29,Delta,BTCUSD,61621.33850202,0.010000000000000002
2026-07-02 22:26:29,Pi42,BTCINR,5866053.0,5.3493e-05
